Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2009-01-02,8.444491386413574,8.48917131016889,7.856206512709755,7.96790584865334,4069200
2009-01-05,8.278182029724121,8.523921594313308,8.193786728913521,8.322861950558519,7444800
2009-01-06,8.588459968566895,8.744839714008474,8.226056955731032,8.471796555710657,5938800
2009-01-07,7.943083763122559,8.427115619315714,7.8785461507338255,8.377471156418324,5647600
2009-01-08,8.168965339660645,8.191305301084633,7.806562362684294,8.015068353678387,4781200
2009-01-09,7.826420307159424,8.139179303784598,7.625360647828782,8.101945717908375,6386000
2009-01-12,7.65762996673584,7.816491504637417,7.563305573523233,7.794151541689417,3714000
2009-01-13,7.354799270629883,7.749471302144455,7.193455468548167,7.506214463716962,11997600
2009-01-14,6.91544771194458,7.290262047877393,6.773961602862563,7.290262047877393,11250400
2009-01-15,6.8732500076293945,7.133882262051374,6.719352546784285,6.984949342333943,11600000
2009-01-16,6.982466697692871,7.056933390284474,6.523257557212359,7.047004308561057,13016800
2009-01-20,6.471130847930908,7.039557995599846,6.428933197346557,6.920411381721003,11439200
2009-01-21,6.84346342086792,6.868285653738289,6.411558273324478,6.724317271223808,9241200
2009-01-22,6.572902202606201,6.6846020159382,6.461202862718925,6.6647443239508135,7372400
2009-01-23,6.7243170738220215,6.843463219968432,6.431415776128573,6.431415776128573,6079200
2009-01-26,6.8260884284973145,7.089202977176683,6.684602307730529,6.751622198655241,9273600
2009-01-27,6.801266193389893,6.912966011586603,6.6275114992941395,6.831052969390596,7326000
2009-01-28,7.295226573944092,7.429266353145201,6.975021223815998,6.9775034945543215,12048000
2009-01-29,6.850910663604736,7.233171369447177,6.808713007104784,7.233171369447177,8058400
2009-01-30,6.605171203613281,6.970056468971872,6.577866699772294,6.910483393409942,6169200
2009-02-02,6.612617492675781,6.6672264999491375,6.441345079258571,6.57786665055253,9271200
2009-02-03,7.446640968322754,7.496285430822779,6.749139063521034,6.749139063521034,18879200
2009-02-04,7.280333042144775,7.528554421656626,7.181044585028977,7.45160592657247,9054800
2009-02-05,7.625360488891602,7.72961348559369,7.079273746573992,7.146293631620627,10538000
2009-02-06,7.208349227905273,7.446641529598976,6.865803452414679,7.429266108447734,29706400
2009-02-09,7.178561687469482,7.436711653424624,7.136364037700078,7.148774916213863,9272400
2009-02-10,6.664743900299072,7.220759714046853,6.57538405531373,7.176079791554181,21502000
2009-02-11,6.759068012237549,6.95019858700697,6.580348790440321,6.744174862115623,13372000
2009-02-12,6.721835136413574,6.736728287058841,6.510846862919288,6.682119752396382,9430000
2009-02-13,6.667226314544678,6.781407920314284,6.580348738207754,6.704459426276301,11282400
2009-02-17,6.438863277435303,6.600207093469792,6.364396573034559,6.600207093469792,10872000
2009-02-18,6.396665096282959,6.548079816615305,6.38177147255607,6.548079816615305,12310800
2009-02-19,6.436380863189697,6.572902441381844,6.374325514294224,6.525740717101496,14269200
2009-02-20,6.466166973114014,6.49843601870847,6.252696901208325,6.34205627901628,16829200
2009-02-23,6.453755855560303,6.6051710482892165,6.332127436634262,6.590277424665426,16053600
2009-02-24,6.818641185760498,6.895590154977866,6.3147520838474875,6.386736038358755,14177600
2009-02-25,6.975020885467529,7.004807185993062,6.7317640462486015,6.818641150651997,28096000
2009-02-26,7.086719989776611,7.118989033304593,6.47857791170933,6.999842888227496,32952800
