Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2009-01-02,13.855594635009766,13.88578065408343,13.59599072549412,13.704662236595814,16355800
2009-01-05,13.716733932495117,13.852573301359714,13.638249603552598,13.7559766727277,20237200
2009-01-06,13.49637222290039,13.876722439416541,13.420906038046523,13.795218821591652,21307800
2009-01-07,13.562780380249023,13.638246551449376,13.348456730405399,13.348456730405399,21581000
2009-01-08,13.656366348266602,13.668440067133506,13.451098157729959,13.535619947413393,20087000
2009-01-09,13.463165283203125,13.662395940974424,13.357513097840487,13.653340368378327,19802400
2009-01-12,13.200545310974121,13.4842977599569,13.134134697830705,13.42090643915053,20469800
2009-01-13,13.288087844848633,13.378647049164702,13.167341471412033,13.221677224306227,22602400
2009-01-14,12.865479469299316,13.140176434277121,12.759827233355164,13.131120857345625,27053600
2009-01-15,13.08885383605957,13.097909408752141,12.79906399467258,12.850380441960445,28061600
2009-01-16,13.23375129699707,13.426944561672215,13.122061656767256,13.251863597381373,28353200
2009-01-20,12.94395923614502,13.432979749544849,12.94395923614502,13.215636787357148,28331800
2009-01-21,13.067720413208008,13.11601870907123,12.726613050942746,13.100925707524388,23800600
2009-01-22,13.016406059265137,13.049611361829378,12.768877087542155,12.871511135685036,23489400
2009-01-23,12.738692283630371,12.87754978794101,12.545499033889897,12.874531647204952,31255800
2009-01-26,12.989242553710938,13.094895929327649,12.714545619544095,12.768881378084602,25210800
2009-01-27,13.079797744750977,13.260916100555859,12.980181842992597,13.064703588831884,19822800
2009-01-28,13.239787101745605,13.282047979254171,13.055649434153247,13.282047979254171,18563600
2009-01-29,13.146207809448242,13.429961372079749,13.082816497103005,13.191487976279115,21258400
2009-01-30,12.89566421508789,13.185454137522436,12.838309167934137,13.113006081152404,22607400
2009-02-02,12.750768661499023,12.82925299669113,12.536443795102903,12.74171193517178,15966800
2009-02-03,13.076778411865234,13.131114148740437,12.672279677084518,12.829249455665945,17950000
2009-02-04,12.799065589904785,13.146209354149002,12.762840991574649,13.085836175121386,18307000
2009-02-05,12.886603355407715,12.946976524433005,12.651149262883752,12.744727732449071,22119800
2009-02-06,13.146207809448242,13.18846868434507,12.877548403442013,12.898678840890426,18722400
2009-02-09,12.771900177001953,13.088857988545092,12.67832167390822,13.076783120109223,19688400
2009-02-10,12.276837348937988,12.771896446503014,12.159110294881838,12.681336111208285,45488000
2009-02-11,12.457958221435547,12.554554848156503,12.364379735508475,12.364379735508475,21237400
2009-02-12,13.399774551391602,13.417886848889424,12.723598232787957,12.874530590702298,61226200
2009-02-13,13.236772537231445,13.39676168261268,13.188474209754062,13.342425920260254,22736400
2009-02-17,12.859435081481934,13.037535291153947,12.811136778088967,12.980181415725545,26421200
2009-02-18,12.883587837219238,12.99225933327718,12.753785900430325,12.913773852114154,18108200
2009-02-19,13.0707426071167,13.19752639278411,12.883586796536061,13.01338872284011,19813000
2009-02-20,12.931884765625,13.122059863339016,12.793027269558113,12.971127501999566,30173200
2009-02-23,12.705485343933105,13.03753605528087,12.654167745839024,12.986219608709241,23461400
2009-02-24,12.998299598693848,13.040560489363802,12.735676375491302,12.895665513557004,26216000
2009-02-25,12.790011405944824,13.064708331156456,12.726620073555102,12.962074251872833,26349400
2009-02-26,12.397584915161133,12.910755209073665,12.379472616015063,12.910755209073665,21334000
2009-02-27,12.331172943115234,12.463994152492038,12.210427750026529,12.364378245459434,35448000
2009-03-02,11.981010437011719,12.291931884625187,11.959879998531123,12.210428271261804,31199000
2009-03-03,11.721404075622559,12.165144296415734,11.700272492230338,12.0172312733254,37264600
2009-03-04,11.993090629577637,12.171190941255942,11.724431091110356,11.848195636410667,33883400
2009-03-05,11.425579071044922,11.905544016850333,11.301814583209438,11.821022264627812,36464600
2009-03-06,11.802912712097168,11.836118022913643,11.501047925071433,11.516142085640942,33002400
2009-03-09,11.697259902954102,12.035348124819576,11.691222469337593,11.917621048104447,35127400
2009-03-10,11.821023941040039,11.974974461781233,11.667073420298843,11.962900746553276,35181400
2009-03-11,12.071170806884766,12.187093420869967,11.91254016766986,11.94609680569503,27254000
2009-03-12,12.458597183227539,12.46469849678843,12.004059214447086,12.074223738544037,25473600
2009-03-13,12.574518203735352,12.644681555143718,12.33352158561112,12.531810177982992,24396800
2009-03-16,12.58977222442627,12.81551500242684,12.544012955630901,12.64773295635473,23204000
2009-03-17,12.644681930541992,12.711794045699673,12.452494645244245,12.611125291109921,20241600
2009-03-18,12.705695152282715,12.888729904377037,12.507406534425055,12.598923910472216,28792800
2009-03-19,12.8673734664917,12.888727478092623,12.75145085801072,12.766703557196186,22777600
2009-03-20,13.007707595825195,13.160237002274753,12.907038792696138,12.91008886879404,38328800
2009-03-23,13.465285301208496,13.465285301208496,13.117518712239768,13.166328037644044,26501400
2009-03-24,13.428685188293457,13.526303887008996,13.242599180208618,13.300559918912633,21878800
2009-03-25,13.65137004852295,13.694078059129836,13.431727521166378,13.544600022005733,24485400
2009-03-26,13.681880950927734,13.727640217134107,13.367670891677184,13.71238751630081,27807800
2009-03-27,13.758146286010742,13.788652852863251,13.553757524778337,13.553757524778337,23103600
2009-03-30,13.398174285888672,13.623918181000185,13.248696210929658,13.575108847422873,22905800
2009-03-31,13.407331466674805,13.6422268293032,13.37987613432326,13.504950167545475,23836600
2009-04-01,13.68492317199707,13.724581098997277,13.270043465949191,13.349358156243891,21254800
2009-04-02,13.831358909606934,13.980838156593599,13.620868865031953,13.819156284606724,24926400
2009-04-03,13.718487739562988,13.959483186479684,13.569008490375923,13.84051050024222,17886600
2009-04-06,13.724588394165039,13.797801814321284,13.587311776739169,13.636121111412107,16084000
2009-04-07,13.611719131469727,13.779501186974016,13.562909785073813,13.678832419154087,15666200
2009-04-08,13.724588394165039,13.77034649083611,13.581210464441758,13.633069873410237,13595600
2009-04-09,13.724588394165039,13.950331130637514,13.67272782149023,13.944229818340103,16203000
2009-04-13,13.645272254943848,13.718486837502263,13.544603513095627,13.712385525313536,13174400
2009-04-14,13.48664379119873,13.605616488685637,13.364621018981659,13.605616488685637,16458200
2009-04-15,13.736788749694824,13.76424407097075,13.453084151079002,13.483590710111274,16665600
2009-04-16,13.758146286010742,13.883220300839692,13.526302196464346,13.840512270952715,17325600
2009-04-17,13.73374080657959,13.861864883276224,13.623919504435952,13.803904157681044,22426000
2009-04-20,13.523255348205566,13.727644158204,13.364624653843725,13.681884878860595,27665400
2009-04-21,13.144976615905762,13.712385862646581,13.001598685209265,13.471389261941594,37523000
2009-04-22,13.096171379089355,13.184638690126876,12.995501439555616,13.178537375878769,28969200
2009-04-23,13.093118667602539,13.16328319171143,13.022955307200222,13.138877937463716,28034600
